EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,stripnet,fmnist,5,1,False,90.77163086523461,89.78,89.08,3.077777777777778
0,stripnet,fmnist,5,2,False,88.9715588623545,88.32,87.62,1.7111111111111112
0,stripnet,fmnist,5,3,False,90.48361934477379,90.47,89.47,3.1333333333333333
0,stripnet,fmnist,7,1,False,91.12,89.83,88.98,3.4333333333333336
0,stripnet,fmnist,7,2,False,85.392,83.15,82.59,1.7222222222222223
0,stripnet,fmnist,7,3,False,89.472,89.36,88.68,3.4000000000000004
0,resnet9,cifar10,1,1,False,91.848,85.76,86.02,1.2661039537983119
0,resnet9,cifar10,1,2,False,97.568,84.76,83.78,1.3950398582816652
0,resnet9,cifar10,1,3,False,100.0,85.18,84.68,1.4732142857142856
0,resnet9,cifar10,3,1,False,92.528,83.46000000000001,83.6,2.4754683318465656
0,resnet9,cifar10,3,2,False,95.192,82.84,81.89999999999999,1.557285873192436
0,resnet9,cifar10,3,3,False,100.0,84.58,84.22,1.471571906354515
0,resnet9,cifar10,5,1,False,87.4594983799352,80.28,80.44,1.890148988214365
0,resnet9,cifar10,5,2,False,92.59570382815313,81.62,81.92,2.101769911504425
0,resnet9,cifar10,5,3,False,99.9879995199808,84.0,85.34,2.175360710321865
0,resnet9,cifar10,7,1,False,87.376,79.66,78.9,2.0575221238938055
0,resnet9,cifar10,7,2,False,94.368,79.97999999999999,80.66,2.0326111235202142
0,resnet9,cifar10,7,3,False,100.0,85.0,83.7,1.8477292965271594
0,lenet,cifar10,1,1,False,47.827999999999996,30.759999999999998,31.6,2.553852986897624
0,lenet,cifar10,1,2,False,63.751999999999995,51.18000000000001,50.9,4.622599374720857
0,lenet,cifar10,1,3,False,13.584,17.68,17.76,15.81870695401022
0,lenet,cifar10,3,1,False,51.456,36.22,36.480000000000004,3.4025629695095003
0,lenet,cifar10,3,2,False,58.888,44.32,43.84,4.736371760500447
0,lenet,cifar10,3,3,False,40.312,20.24,20.14,9.542743538767395
0,lenet,cifar10,5,1,False,55.38221528861155,41.22,39.800000000000004,2.8213166144200628
0,lenet,cifar10,5,2,False,60.79443177727109,50.0,51.66,11.478685612788633
0,lenet,cifar10,5,3,False,45.50582023280931,26.740000000000002,26.72,10.283925776883523
0,lenet,cifar10,7,1,False,50.751999999999995,33.300000000000004,34.06,4.5323261497445015
0,lenet,cifar10,7,2,False,66.256,53.339999999999996,53.98,4.019542527204086
0,lenet,cifar10,7,3,False,22.928,29.220000000000002,29.04,10.128831630386495
0,stripnet,cifar10,1,1,False,76.9,75.68,76.34,0.7800312012480499
0,stripnet,cifar10,1,2,False,68.992,66.67999999999999,66.2,0.8882966910948257
0,stripnet,cifar10,1,3,False,79.448,78.48,78.75999999999999,1.1514614703277237
0,stripnet,cifar10,3,1,False,74.016,71.54,72.39999999999999,1.3099467140319716
0,stripnet,cifar10,3,2,False,67.136,65.24,66.36,1.6907675194660732
0,stripnet,cifar10,3,3,False,75.48,72.38,73.46000000000001,1.467645096731154
0,stripnet,cifar10,5,1,False,72.06288251530061,69.42,69.94,1.5104398045313194
0,stripnet,cifar10,5,2,False,71.17484699387975,68.22,68.44,2.293475840570029
0,stripnet,cifar10,5,3,False,73.98295931837274,71.58,70.96000000000001,1.8510258697591437
0,stripnet,cifar10,7,1,False,68.928,66.64,66.44,2.5840944531075962
0,stripnet,cifar10,7,2,False,69.28,66.14,66.60000000000001,0.9498564170532362
0,stripnet,cifar10,7,3,False,72.768,68.94,70.19999999999999,2.2138587558113794
