EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,mnist,7,3,FALSE,TRUE,0.04,100,18.4,18.35,0
0,lenet,mnist,1,1,FALSE,TRUE,0.5,99.92,98.76,98.83,12.92682927
0,lenet,mnist,1,1,FALSE,TRUE,0.2,99.62,98.54,98.94,96.67405765
0,lenet,mnist,1,1,FALSE,TRUE,0.09,99.04,98.54,98.82,99.58980044
0,lenet,mnist,1,1,FALSE,TRUE,0.06,98.788,98.53,98.63,84.93348115
0,lenet,mnist,1,1,FALSE,TRUE,0.04,98.644,98.45,98.62,88.35920177
0,lenet,mnist,1,2,FALSE,TRUE,0.5,99.948,98.7,98.81,8.10421286
0,lenet,mnist,1,2,FALSE,TRUE,0.2,99.616,98.71,98.92,70.83148559
0,lenet,mnist,1,2,FALSE,TRUE,0.09,99.06,98.59,98.69,98.28159645
0,lenet,mnist,1,2,FALSE,TRUE,0.06,98.648,98.31,98.75,81.2195122
0,lenet,mnist,1,2,FALSE,TRUE,0.04,98.488,98.15,98.39,65.13303769
0,lenet,mnist,1,3,FALSE,TRUE,0.5,99.964,98.54,98.75,0.853658537
0,lenet,mnist,1,3,FALSE,TRUE,0.2,99.74,98.59,98.87,0.454545455
0,lenet,mnist,1,3,FALSE,TRUE,0.09,99.26,98.62,98.75,0.798226164
0,lenet,mnist,1,3,FALSE,TRUE,0.06,99.264,98.55,98.81,3.913525499
0,lenet,mnist,1,3,FALSE,TRUE,0.04,99.024,98.49,98.77,2.760532151
0,lenet,mnist,3,1,FALSE,TRUE,0.5,99.968,98.85,99.05,1.829268293
0,lenet,mnist,3,1,FALSE,TRUE,0.2,99.64,98.71,98.93,47.32815965
0,lenet,mnist,3,1,FALSE,TRUE,0.09,99.312,98.49,98.89,52.172949
0,lenet,mnist,3,1,FALSE,TRUE,0.06,98.944,98.39,98.83,92.18403548
0,lenet,mnist,3,1,FALSE,TRUE,0.04,98.72,98.54,98.65,92.27272727
0,lenet,mnist,3,2,FALSE,TRUE,0.5,99.968,98.82,99.09,0.376940133
0,lenet,mnist,3,2,FALSE,TRUE,0.2,99.648,98.78,98.99,83.07095344
0,lenet,mnist,3,2,FALSE,TRUE,0.09,98.832,98.47,98.83,95.38802661
0,lenet,mnist,3,2,FALSE,TRUE,0.06,99.048,98.52,98.62,99.00221729
0,lenet,mnist,3,2,FALSE,TRUE,0.04,98.672,98.44,98.58,95.39911308
0,lenet,mnist,3,3,FALSE,TRUE,0.5,99.992,98.83,99.19,0.576496674
0,lenet,mnist,3,3,FALSE,TRUE,0.2,99.816,98.75,99.06,0.598669623
0,lenet,mnist,3,3,FALSE,TRUE,0.09,99.48,98.53,98.97,0.731707317
0,lenet,mnist,3,3,FALSE,TRUE,0.06,99.112,98.66,98.73,2.461197339
0,lenet,mnist,3,3,FALSE,TRUE,0.04,99.008,98.51,98.77,0.931263858
0,lenet,mnist,5,1,FALSE,TRUE,0.5,99.97599904,98.57,99.1,1.518847007
0,lenet,mnist,5,1,FALSE,TRUE,0.2,99.66398656,98.82,99.08,39.64523282
0,lenet,mnist,5,1,FALSE,TRUE,0.09,99.19596784,98.7,98.8,56.1308204
0,lenet,mnist,5,1,FALSE,TRUE,0.06,99.0399616,98.49,98.75,64.04656319
0,lenet,mnist,5,1,FALSE,TRUE,0.04,98.54794192,98.14,98.41,12.41685144
0,lenet,mnist,5,2,FALSE,TRUE,0.5,99.96399856,98.98,99.01,1.629711752
0,lenet,mnist,5,2,FALSE,TRUE,0.2,99.53198128,98.79,98.88,52.23946785
0,lenet,mnist,5,2,FALSE,TRUE,0.09,99.2799712,98.81,98.86,58.18181818
0,lenet,mnist,5,2,FALSE,TRUE,0.06,99.01596064,98.24,98.78,86.94013304
0,lenet,mnist,5,2,FALSE,TRUE,0.04,98.70394816,98.07,98.57,44.9556541
0,lenet,mnist,5,3,FALSE,TRUE,0.5,99.97599904,98.98,99.04,0.266075388
0,lenet,mnist,5,3,FALSE,TRUE,0.2,99.79599184,98.83,99.15,0.487804878
0,lenet,mnist,5,3,FALSE,TRUE,0.09,99.5199808,98.97,99.01,1.419068736
0,lenet,mnist,5,3,FALSE,TRUE,0.06,99.37597504,98.57,98.79,0.554323725
0,lenet,mnist,5,3,FALSE,TRUE,0.04,98.94395776,98.53,98.66,2.062084257
0,lenet,mnist,7,1,FALSE,TRUE,0.5,99.952,99.1,99.11,2.971175166
0,lenet,mnist,7,1,FALSE,TRUE,0.2,99.744,98.84,99.02,1.818181818
0,lenet,mnist,7,1,FALSE,TRUE,0.09,99.2,98.66,98.81,20.72062084
0,lenet,mnist,7,1,FALSE,TRUE,0.06,98.864,98.51,98.85,13.13747228
0,lenet,mnist,7,1,FALSE,TRUE,0.04,98.56,98.34,98.43,96.76274945
0,lenet,mnist,7,2,FALSE,TRUE,0.5,100,98.89,99.06,18.03769401
0,lenet,mnist,7,2,FALSE,TRUE,0.2,99.44,98.89,99.06,7.250554324
0,lenet,mnist,7,2,FALSE,TRUE,0.09,99.344,98.55,98.86,77.90465632
0,lenet,mnist,7,2,FALSE,TRUE,0.06,98.928,98.5,98.67,48.44789357
0,lenet,mnist,7,2,FALSE,TRUE,0.04,98.416,98.01,98.48,54.50110865
0,lenet,mnist,7,3,FALSE,TRUE,0.5,99.968,99.1,99.12,0.34368071
0,lenet,mnist,7,3,FALSE,TRUE,0.2,99.872,99.11,99.16,0.266075388
0,lenet,mnist,7,3,FALSE,TRUE,0.09,99.504,98.86,98.97,0.365853659
0,lenet,mnist,7,3,FALSE,TRUE,0.06,98.976,98.77,98.96,0.254988914
0,lenet,mnist,7,3,FALSE,TRUE,0.04,98.976,98.54,98.69,0.410199557
0,stripnet,mnist,1,1,FALSE,TRUE,0.5,99.984,99.43,99.54,95.53215078
0,stripnet,mnist,1,1,FALSE,TRUE,0.2,99.9,99.34,99.47,99.98891353
0,stripnet,mnist,1,1,FALSE,TRUE,0.09,99.748,99.21,99.39,100
0,stripnet,mnist,1,1,FALSE,TRUE,0.06,99.592,99.16,99.2,88.51441242
0,stripnet,mnist,1,1,FALSE,TRUE,0.04,99.412,98.32,98.65,95.59866962
0,stripnet,mnist,1,2,FALSE,TRUE,0.5,99.988,99.48,99.54,99.97782705
0,stripnet,mnist,1,2,FALSE,TRUE,0.2,99.92,99.36,99.44,96.00886918
0,stripnet,mnist,1,2,FALSE,TRUE,0.09,99.736,99.29,99.34,100
0,stripnet,mnist,1,2,FALSE,TRUE,0.06,99.568,98.52,98.59,99.96674058
0,stripnet,mnist,1,2,FALSE,TRUE,0.04,99.428,97.7,98.04,90.94235033
0,stripnet,mnist,1,3,FALSE,TRUE,0.5,99.988,99.41,99.59,98.80266075
0,stripnet,mnist,1,3,FALSE,TRUE,0.2,99.904,99.41,99.49,99.54545455
0,stripnet,mnist,1,3,FALSE,TRUE,0.09,99.728,95.67,95.91,84.68957871
0,stripnet,mnist,1,3,FALSE,TRUE,0.06,99.632,57.63,58.4,25.07760532
0,stripnet,mnist,1,3,FALSE,TRUE,0.04,99.516,16.95,16.65,0.044345898
0,stripnet,mnist,3,1,FALSE,TRUE,0.5,99.984,99.49,99.57,95.5210643
0,stripnet,mnist,3,1,FALSE,TRUE,0.2,99.92,99.47,99.46,95.99778271
0,stripnet,mnist,3,1,FALSE,TRUE,0.09,99.76,99.31,99.41,99.84478936
0,stripnet,mnist,3,1,FALSE,TRUE,0.06,99.592,99.26,99.37,99.76718404
0,stripnet,mnist,3,1,FALSE,TRUE,0.04,99.504,99.13,99.17,99.9556541
0,stripnet,mnist,3,2,FALSE,TRUE,0.5,99.992,99.5,99.49,98.28159645
0,stripnet,mnist,3,2,FALSE,TRUE,0.2,99.928,99.53,99.43,100
0,stripnet,mnist,3,2,FALSE,TRUE,0.09,99.824,99.17,99.25,100
0,stripnet,mnist,3,2,FALSE,TRUE,0.06,99.52,98.8,99.08,100
0,stripnet,mnist,3,2,FALSE,TRUE,0.04,99.312,98.3,98.53,90.86474501
0,stripnet,mnist,3,3,FALSE,TRUE,0.5,99.992,99.39,99.46,95.43237251
0,stripnet,mnist,3,3,FALSE,TRUE,0.2,99.928,99.36,99.41,94.81152993
0,stripnet,mnist,3,3,FALSE,TRUE,0.09,99.696,98.21,98.48,76.79600887
0,stripnet,mnist,3,3,FALSE,TRUE,0.06,99.688,97.69,98.01,95.67627494
0,stripnet,mnist,3,3,FALSE,TRUE,0.04,99.32,68.84,69.28,40.41019956
0,stripnet,mnist,5,1,FALSE,TRUE,0.5,99.97599904,99.38,99.5,95.42128603
0,stripnet,mnist,5,1,FALSE,TRUE,0.2,99.98799952,99.39,99.47,99.56762749
0,stripnet,mnist,5,1,FALSE,TRUE,0.09,99.71198848,99.35,99.47,99.97782705
0,stripnet,mnist,5,1,FALSE,TRUE,0.06,99.54398176,99.33,99.33,100
0,stripnet,mnist,5,1,FALSE,TRUE,0.04,99.38797552,99.16,99.4,99.93348115
0,stripnet,mnist,5,2,FALSE,TRUE,0.5,100,99.5,99.51,98.76940133
0,stripnet,mnist,5,2,FALSE,TRUE,0.2,99.92799712,99.5,99.48,99.86696231
0,stripnet,mnist,5,2,FALSE,TRUE,0.09,99.7599904,99.28,99.38,99.9556541
0,stripnet,mnist,5,2,FALSE,TRUE,0.06,99.47197888,99.09,99.14,100
0,stripnet,mnist,5,2,FALSE,TRUE,0.04,99.43597744,97.93,98.46,92.90465632
0,stripnet,mnist,5,3,FALSE,TRUE,0.5,99.98799952,99.44,99.48,75.5654102
0,stripnet,mnist,5,3,FALSE,TRUE,0.2,99.86799472,99.32,99.44,99.70066519
0,stripnet,mnist,5,3,FALSE,TRUE,0.09,99.62798512,98.65,98.96,99.345898
0,stripnet,mnist,5,3,FALSE,TRUE,0.06,99.5799832,98.12,98.44,72.39467849
0,stripnet,mnist,5,3,FALSE,TRUE,0.04,99.31597264,87.16,86.92,30.97560976
0,stripnet,mnist,7,1,FALSE,TRUE,0.5,99.984,99.51,99.56,61.64079823
0,stripnet,mnist,7,1,FALSE,TRUE,0.2,99.888,99.35,99.4,77.07317073
0,stripnet,mnist,7,1,FALSE,TRUE,0.09,99.696,99.21,99.44,99.98891353
0,stripnet,mnist,7,1,FALSE,TRUE,0.06,99.696,99.2,99.33,99.97782705
0,stripnet,mnist,7,1,FALSE,TRUE,0.04,99.456,98.92,99.16,99.83370288
0,stripnet,mnist,7,2,FALSE,TRUE,0.5,99.968,99.47,99.49,90.74279379
0,stripnet,mnist,7,2,FALSE,TRUE,0.2,99.952,99.4,99.47,84.35698448
0,stripnet,mnist,7,2,FALSE,TRUE,0.09,99.664,99.29,99.34,95.42128603
0,stripnet,mnist,7,2,FALSE,TRUE,0.06,99.744,98.83,99.02,94.19068736
0,stripnet,mnist,7,2,FALSE,TRUE,0.04,99.376,98.86,98.98,69.31263858
0,stripnet,mnist,7,3,FALSE,TRUE,0.5,100,99.46,99.39,32.32815965
0,stripnet,mnist,7,3,FALSE,TRUE,0.2,99.936,99.3,99.56,99.05764967
0,stripnet,mnist,7,3,FALSE,TRUE,0.09,99.808,99.39,99.33,63.2594235
0,stripnet,mnist,7,3,FALSE,TRUE,0.06,99.504,98.85,99.05,55.44345898
0,stripnet,mnist,7,3,FALSE,TRUE,0.04,99.36,95.3,95.46,30.01108647
