EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,cifar10,7,3,False,True,0.2,100.0,76.68,76.25999999999999,0.20044543429844097
0,resnet9,cifar10,7,3,False,True,0.09,100.0,50.92,50.28,0.044543429844097995
0,resnet9,cifar10,7,3,False,True,0.06,100.0,31.900000000000002,32.62,0.8894818768067602
0,resnet9,cifar10,7,3,False,True,0.04,100.0,38.6,36.8,0.0
0,lenet,cifar10,1,1,False,True,0.5,80.232,61.58,61.7,52.512119876597616
0,lenet,cifar10,1,1,False,True,0.2,65.9,59.599999999999994,59.160000000000004,58.29257447754558
0,lenet,cifar10,1,1,False,True,0.09,59.084,55.82,56.46,45.44441969258187
0,lenet,cifar10,1,1,False,True,0.06,56.336,53.54,54.66,48.37198929527208
0,lenet,cifar10,1,1,False,True,0.04,56.384,56.120000000000005,54.72,12.191323692992214
0,lenet,cifar10,1,2,False,True,0.5,77.176,60.81999999999999,60.58,18.474877723432638
0,lenet,cifar10,1,2,False,True,0.2,67.052,60.14000000000001,59.58,67.17250613702299
0,lenet,cifar10,1,2,False,True,0.09,60.431999999999995,57.58,56.89999999999999,12.088888888888889
0,lenet,cifar10,1,2,False,True,0.06,57.967999999999996,55.46,55.32,37.497236347556935
0,lenet,cifar10,1,2,False,True,0.04,56.616,55.16,54.900000000000006,22.760451227604513
0,lenet,cifar10,1,3,False,True,0.5,86.92800000000001,61.72,61.82,3.3407079646017697
0,lenet,cifar10,1,3,False,True,0.2,69.368,60.18,60.84,2.6092774308652986
0,lenet,cifar10,1,3,False,True,0.09,64.02,58.78,59.06,3.9189490091293697
0,lenet,cifar10,1,3,False,True,0.06,62.583999999999996,58.879999999999995,58.86,3.352575488454707
0,lenet,cifar10,1,3,False,True,0.04,60.772000000000006,57.86,57.220000000000006,4.1019955654102
0,lenet,cifar10,3,1,False,True,0.5,80.376,61.019999999999996,60.96,9.549071618037134
0,lenet,cifar10,3,1,False,True,0.2,66.24799999999999,59.160000000000004,56.82000000000001,8.40392331698618
0,lenet,cifar10,3,1,False,True,0.09,59.599999999999994,56.99999999999999,56.00000000000001,8.765294771968854
0,lenet,cifar10,3,1,False,True,0.06,58.111999999999995,54.900000000000006,54.67999999999999,35.768206039076375
0,lenet,cifar10,3,1,False,True,0.04,57.16,54.379999999999995,55.64,28.060768543342267
0,lenet,cifar10,3,2,False,True,0.5,76.88000000000001,60.9,61.56,13.657561625582945
0,lenet,cifar10,3,2,False,True,0.2,66.032,59.21999999999999,58.5,10.578842315369261
0,lenet,cifar10,3,2,False,True,0.09,60.663999999999994,57.46,57.84,35.08379888268156
0,lenet,cifar10,3,2,False,True,0.06,61.407999999999994,56.66,58.42,11.652212586168558
0,lenet,cifar10,3,2,False,True,0.04,54.647999999999996,53.18000000000001,54.2,4.635613995988411
0,lenet,cifar10,3,3,False,True,0.5,84.744,62.3,63.75999999999999,3.0532649877423665
0,lenet,cifar10,3,3,False,True,0.2,76.64,64.0,64.68,3.753887161261661
0,lenet,cifar10,3,3,False,True,0.09,65.88000000000001,60.68,60.019999999999996,3.5992001777382807
0,lenet,cifar10,3,3,False,True,0.06,65.80799999999999,60.8,61.0,4.805137289636847
0,lenet,cifar10,3,3,False,True,0.04,62.895999999999994,60.040000000000006,61.260000000000005,3.804226918798665
0,lenet,cifar10,5,1,False,True,0.5,77.21108844353775,62.38,61.88,15.557533941687069
0,lenet,cifar10,5,1,False,True,0.2,66.86667466698668,62.03999999999999,61.18,7.791057990261177
0,lenet,cifar10,5,1,False,True,0.09,62.61850474018961,58.26,57.49999999999999,6.051167964404894
0,lenet,cifar10,5,1,False,True,0.06,60.24240969638785,56.48,56.599999999999994,14.887452640962781
0,lenet,cifar10,5,1,False,True,0.04,59.76239049561982,55.96,56.86,11.75426923929918
0,lenet,cifar10,5,2,False,True,0.5,80.43921756870274,62.88,61.919999999999995,13.16023080337328
0,lenet,cifar10,5,2,False,True,0.2,68.8227529101164,60.62,60.980000000000004,5.69971168773564
0,lenet,cifar10,5,2,False,True,0.09,62.738509540381614,58.46,58.58,5.019902697921274
0,lenet,cifar10,5,2,False,True,0.06,61.38245529821192,60.040000000000006,57.52,6.951871657754011
0,lenet,cifar10,5,2,False,True,0.04,58.63434537381495,56.08,55.48,17.168808152414712
0,lenet,cifar10,5,3,False,True,0.5,82.8993159726389,62.13999999999999,63.9,3.753887161261661
0,lenet,cifar10,5,3,False,True,0.2,74.63098523940957,64.12,63.22,3.267392753945321
0,lenet,cifar10,5,3,False,True,0.09,72.53090123604944,65.5,65.38000000000001,3.6558181007579136
0,lenet,cifar10,5,3,False,True,0.06,70.93483739349574,63.75999999999999,62.580000000000005,3.8992869875222818
0,lenet,cifar10,5,3,False,True,0.04,64.79059162366495,61.0,60.31999999999999,4.343971631205674
